"","Additional Resources","All taxonomy terms","Announcement","Audience","Author","Author / Institution","Body","Body","Body","byline","Climate Topics","Date of Issue","Description","Duration ","Expert Personal Site","Expert/s","Explore/Interactive Image","Header Title","Key Personnel","Learn More Link","Link","Organization Name","Other Expert","Polar Topics","Post date","Primary Image","Project Image","Project Landing Page Image","Project Lead","Project URL","Resource Link","Resource Type","Tagline","Tags","Title","Type"
"U.S. Army Cold Regions Research and Engineering Laboratory ","","Antarctic, Arctic, Research, General, Website, Publication, Data","","Research, General","","U.S. Army Corps of Engineers","This CCREL website includes technical areas, research publications and products, and business and professional opportunities
","This CCREL website includes technical areas, research publications and products, and business and professional opportunities
","This CCREL website includes technical areas, research publications and products, and business and professional opportunities
","","","","","","","","","","","","view","","","Arctic, Antarctic","August 8, 2014 - 2:49pm","","","","","","http://www.crrel.usace.army.mil/","Website, Publication, Data","","","U.S. Army Cold Regions Research and Engineering Laboratory ","Resource"
"Arctic Research Mapping Application ","","Graduate/Professional, Online Interactive Tool, Arctic, Research, General, Data","","Graduate/Professional, Research, General","","A.G. Gaylord, A. Kassin, W.F. Manley, R. Cody, M. Dover, R. Score, and C.E. Tweedie,","ARMAP is a suite of online, interactive maps and services that support Arctic science. Users can learn more about research projects in specific regions or scientific disciplines, explore available data or possible colloborations, plan and coordinate field logistics, and use online mapping tools for own project
","ARMAP is a suite of online, interactive maps and services that support Arctic science. Users can learn more about research projects in specific regions or scientific disciplines, explore available data or possible colloborations, plan and coordinate field logistics, and use online mapping tools for own project
","ARMAP is a suite of online, interactive maps and services that support Arctic science. Users can learn more about research projects in specific regions or scientific disciplines, explore available data or possible colloborations, plan and coordinate field logistics, and use online mapping tools for own project
","","","","","","","","","","","","view","","","Arctic","August 8, 2014 - 2:49pm","","","","","","http://www.armap.org/","Online Interactive Tool, Data","","","Arctic Research Mapping Application ","Resource"
"Barrow Area Information Database","","Graduate/Professional, Online Interactive Tool, Arctic, Research, General","","Graduate/Professional, Research, General","","Tweedie, C.E., Gaylord, A.G.,Michigan State University's Arctic Ecology Laboratory and the Barrow Arctic Science Consortium ","BAID is a suite of online, interactive maps and services that support Arctic science with a special focus on the research hubs of Barrow, Atqasuk and Ivotuk on the North Slope of Alaska.
","BAID is a suite of online, interactive maps and services that support Arctic science with a special focus on the research hubs of Barrow, Atqasuk and Ivotuk on the North Slope of Alaska.
","BAID is a suite of online, interactive maps and services that support Arctic science with a special focus on the research hubs of Barrow, Atqasuk and Ivotuk on the North Slope of Alaska.
","","","","","","","","","","","","view","","","Arctic","August 8, 2014 - 2:49pm","","","","","","http://www.baidims.org/","Online Interactive Tool","","","Barrow Area Information Database","Resource"
"UAB in Antarctica ","","Antarctic, General, Images, Website","","General","","University of Alaska Birmingham College of Arts and Sciences, dept of biology","This website presents a blog on UAB researchers' yearly expeditions to Antarctica(2000-13)
","This website presents a blog on UAB researchers' yearly expeditions to Antarctica(2000-13)
","This website presents a blog on UAB researchers' yearly expeditions to Antarctica(2000-13)
","","","","","","","","","","","","view","","","Antarctic","August 8, 2014 - 2:49pm","","","","","","http://www.uab.edu/antarctica/index.php","Images, Website","","","UAB in Antarctica ","Resource"
"CreSIS - Center for Remote Sensing of Ice Sheets ","","High School, Climate System, College, Antarctic, Causes of Climate Change, Graduate/Professional, Arctic, Impacts of Climate Change, Research, General, Video/Visualization, Glaciers/Land Ice, Curriculum, Website, Publication, Data, Sea Level Rise","","High School, College, Graduate/Professional, Research, General","","NSF, University of Kansas","The Center for Remote Sensing of Ice Sheets (CReSIS) is a Science and Technology Center established by the National Science Foundation (link is external) (NSF) in 2005, with the mission of developing new technologies and computer models to measure and predict the response of sea level change to the mass balance of ice sheets in Greenland and Antarctica.  The CreSIS website features data, educational resources, research, publications, news, and more.(2013)
","The Center for Remote Sensing of Ice Sheets (CReSIS) is a Science and Technology Center established by the National Science Foundation (link is external) (NSF) in 2005, with the mission of developing new technologies and computer models to measure and predict the response of sea level change to the mass balance of ice sheets in Greenland and Antarctica.  The CreSIS website features data, educational resources, research, publications, news, and more.(2013)
","The Center for Remote Sensing of Ice Sheets (CReSIS) is a Science and Technology Center established by the National Science Foundation (link is external) (NSF) in 2005, with the mission of developing new technologies and computer models to measure and predict the response of sea level change to the mass balance of ice sheets in Greenland and Antarctica.  The CreSIS website features data, educational resources, research, publications, news, and more.(2013)
","","Climate System, Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Antarctic, Glaciers/Land Ice, Sea Level Rise","August 8, 2014 - 2:49pm","","","","","","https://www.cresis.ku.edu/content/education","Video/Visualization, Curriculum, Website, Publication, Data","","","CreSIS - Center for Remote Sensing of Ice Sheets ","Resource"
"PolarTREC ","","High School, Antarctic, Online Interactive Tool, Arctic, Audio, Research, General, Video/Visualization, Images, Curriculum, Website, Publication","","High School, Research, General","","ARCUS, NSF (take out other Polar TREC stuff)","This website includes resources from Polar TREC (Teachers and Researchers Exploring and Colloborating) program in which K-12 teachers spend 3-6 weeks participating in hands-on field research experiences in the polar regions.   The goal of PolarTREC is to improve teachers' knowledge and instruction about polar regions, improve researchers' knowledge about K-12  education and increase students' knowlege about polar regions
","This website includes resources from Polar TREC (Teachers and Researchers Exploring and Colloborating) program in which K-12 teachers spend 3-6 weeks participating in hands-on field research experiences in the polar regions.   The goal of PolarTREC is to improve teachers' knowledge and instruction about polar regions, improve researchers' knowledge about K-12  education and increase students' knowlege about polar regions
","This website includes resources from Polar TREC (Teachers and Researchers Exploring and Colloborating) program in which K-12 teachers spend 3-6 weeks participating in hands-on field research experiences in the polar regions.   The goal of PolarTREC is to improve teachers' knowledge and instruction about polar regions, improve researchers' knowledge about K-12  education and increase students' knowlege about polar regions
","","","","","","","","","","","","view","","","Arctic, Antarctic","August 8, 2014 - 2:49pm","","","","","","http://www.polartrec.com/","Online Interactive Tool, Audio, Video/Visualization, Images, Curriculum, Website, Publication","","","PolarTREC ","Resource"
"Landsat Image Mosaic of Antarctica: USGS site","","High School, College, Antarctic, Online Interactive Tool, General, Glaciers/Land Ice, Images","","High School, College, General","","USGS, NASA, BAS","Discover Antarctica in greater detail than ever before by exploring the nine versions of the Landsat Image Mosaic of Antarctica (LIMA). Each version highlights different features of the landscape. Created from over 1,000 Landsat 7 ETM+ scenes, LIMA consists of two principle mosaics, six stretched versions and one center-filled mosaic. The map viewer displays the mosaics and Landsat scenes in polar stereographic projection using Web Map Service (WMS). Site also contains dowloadable maps, factsheets and images.
","Discover Antarctica in greater detail than ever before by exploring the nine versions of the Landsat Image Mosaic of Antarctica (LIMA). Each version highlights different features of the landscape. Created from over 1,000 Landsat 7 ETM+ scenes, LIMA consists of two principle mosaics, six stretched versions and one center-filled mosaic. The map viewer displays the mosaics and Landsat scenes in polar stereographic projection using Web Map Service (WMS). Site also contains dowloadable maps, factsheets and images.
","Discover Antarctica in greater detail than ever before by exploring the nine versions of the Landsat Image Mosaic of Antarctica (LIMA). Each version highlights different features of the landscape. Created from over 1,000 Landsat 7 ETM+ scenes, LIMA consists of two principle mosaics, six stretched versions and one center-filled mosaic. The map viewer displays the mosaics and Landsat scenes in polar stereographic projection using Web Map Service (WMS). Site also contains dowloadable maps, factsheets and images.
","","","","","","","","","","","","view","","","Antarctic, Glaciers/Land Ice","August 8, 2014 - 2:49pm","","","","","","http://lima.usgs.gov/","Online Interactive Tool, Images","","","Landsat Image Mosaic of Antarctica: USGS site","Resource"
"Life in the Arctic - After Climate Change","","Arctic, Impacts of Climate Change, General, Video/Visualization, Adaptation, Marine Ecosystem, Sea Ice","","General","","Woods Hole Oceanist","This video begins when sunlight returns to the Bering Sea in spring after long, dark winter highlighting the relaunch of a bountiful food chain that fills the Arctic with life. Woods Hole researchers move through the remote region aiming to learn how this complex ecosystem works and how climate change might disrupt it.
","This video begins when sunlight returns to the Bering Sea in spring after long, dark winter highlighting the relaunch of a bountiful food chain that fills the Arctic with life. Woods Hole researchers move through the remote region aiming to learn how this complex ecosystem works and how climate change might disrupt it.
","This video begins when sunlight returns to the Bering Sea in spring after long, dark winter highlighting the relaunch of a bountiful food chain that fills the Arctic with life. Woods Hole researchers move through the remote region aiming to learn how this complex ecosystem works and how climate change might disrupt it.
","","Adaptation, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Sea Ice, Marine Ecosystem","August 8, 2014 - 2:49pm","","","","","","http://www.youtube.com/watch?v=ZA_ntcxOsRk","Video/Visualization","","","Life in the Arctic - After Climate Change","Resource"
"Losing Permafrost in Alaska ","","High School, Causes of Climate Change, Arctic, Impacts of Climate Change, General, Mitigation, Video/Visualization, Adaptation, Marine Ecosystem, Permafrost","","High School, General","","Spanner Films & WGBH (not in general Teachers' domain but is in Alaskan Native page)","This video adapted from Spanner Films describes the effects of changes to permafrost, the frozen layer of soil and ice that underlies much of Alaska, caused by a warming climate. Permafrost, some of which has persisted since the last ice age, more than 10,000 years ago, is melting rapidly. In affected areas, this has led to building and road damage, shrinking lakes, rapidly eroding river banks, and the disappearance of some wildlife, including fish. Scientists such as Gunter Weller, who is featured in the video, suggest that these changes will continue to worsen unless society reduces its use of fossil fuels.
","This video adapted from Spanner Films describes the effects of changes to permafrost, the frozen layer of soil and ice that underlies much of Alaska, caused by a warming climate. Permafrost, some of which has persisted since the last ice age, more than 10,000 years ago, is melting rapidly. In affected areas, this has led to building and road damage, shrinking lakes, rapidly eroding river banks, and the disappearance of some wildlife, including fish. Scientists such as Gunter Weller, who is featured in the video, suggest that these changes will continue to worsen unless society reduces its use of fossil fuels.
","This video adapted from Spanner Films describes the effects of changes to permafrost, the frozen layer of soil and ice that underlies much of Alaska, caused by a warming climate. Permafrost, some of which has persisted since the last ice age, more than 10,000 years ago, is melting rapidly. In affected areas, this has led to building and road damage, shrinking lakes, rapidly eroding river banks, and the disappearance of some wildlife, including fish. Scientists such as Gunter Weller, who is featured in the video, suggest that these changes will continue to worsen unless society reduces its use of fossil fuels.
","","Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Arctic, Permafrost, Marine Ecosystem","August 8, 2014 - 2:49pm","","","","","","http://www.teachersdomain.org/resource/ean08.sci.ess.watcyc.bakedalaska/","Video/Visualization","","","Losing Permafrost in Alaska ","Resource"
"Global Climate Change: Vital Signs of the Planet","","High School, Climate System, Antarctic, Causes of Climate Change, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Mitigation, Video/Visualization, Glaciers/Land Ice, Images, Curriculum, Website, Data, Sea Ice, Sea Level Rise","","High School, General","","NASA","This website is a resource hub containing maps, data time series, videos, satellite images, and links to curriculum, news and headlines about global climate change and how it impacts wildlife and the Earth as a whole.
","This website is a resource hub containing maps, data time series, videos, satellite images, and links to curriculum, news and headlines about global climate change and how it impacts wildlife and the Earth as a whole.
","This website is a resource hub containing maps, data time series, videos, satellite images, and links to curriculum, news and headlines about global climate change and how it impacts wildlife and the Earth as a whole.
","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation","","","","","","","","","","view","","","Arctic, Antarctic, Sea Ice, Glaciers/Land Ice, Sea Level Rise","August 8, 2014 - 2:49pm","","","","","","http://climate.nasa.gov/index","Online Interactive Tool, Video/Visualization, Images, Curriculum, Website, Data","","","Global Climate Change: Vital Signs of the Planet","Resource"
"March of the Polar Bears: Global Change, Sea Ice, and Wildlife Migration ","","High School, Causes of Climate Change, Online Interactive Tool, Arctic, Impacts of Climate Change, Curriculum, Marine Ecosystem, Sea Ice, Terrestrial Ecosystem","","High School","","NASA (reviewed CLEAN resource) ","This website provides a lesson plan for grade levels 7-12 where students will use NASA satellite data to study temperature and snow-ice coverage in the South Beaufort Sea, Alaska. The data can be used to correlate with USGS ground tracking of polar bears, and to relate this to global change, sea ice changes, and polar bear migration. The data can be used to draw conclusions surrounding any migration patterns in the region.
","This website provides a lesson plan for grade levels 7-12 where students will use NASA satellite data to study temperature and snow-ice coverage in the South Beaufort Sea, Alaska. The data can be used to correlate with USGS ground tracking of polar bears, and to relate this to global change, sea ice changes, and polar bear migration. The data can be used to draw conclusions surrounding any migration patterns in the region.
","This website provides a lesson plan for grade levels 7-12 where students will use NASA satellite data to study temperature and snow-ice coverage in the South Beaufort Sea, Alaska. The data can be used to correlate with USGS ground tracking of polar bears, and to relate this to global change, sea ice changes, and polar bear migration. The data can be used to draw conclusions surrounding any migration patterns in the region.
","","Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Sea Ice, Marine Ecosystem, Terrestrial Ecosystem","August 8, 2014 - 2:49pm","","","","","","http://mynasadata.larc.nasa.gov/lesson-plans/1332-2/?page_id=474%3F&passid=90","Online Interactive Tool, Curriculum","","","March of the Polar Bears: Global Change, Sea Ice, and Wildlife Migration ","Resource"
"Modeled Arctic Sea Ice Thickness From 1940 Through 2060","","Arctic, General, Video/Visualization, Images, Data, Sea Ice","","General","","NOAA & NASA Goddard","Part of the ongoing research into polar ice trends encompasses evaluation from sophisticated computer models. At the Geophysical Fluid Dynamics Laboratory at Princeton University, run by NASA's sibling agency, NOAA, researchers modeled a 5,000 year period to see how polar ice might behave over time depending on several different variables. This visualization shows a 120-year slice of that complete model, essentially offering a research window on to experimental processes that require longer time frames than human lifetimes. According to the model shown here, projecting a period from 1940 to 2060, there is evidence to suggest human factors have had a measurable effect on Arctic ice decreases.
","Part of the ongoing research into polar ice trends encompasses evaluation from sophisticated computer models. At the Geophysical Fluid Dynamics Laboratory at Princeton University, run by NASA's sibling agency, NOAA, researchers modeled a 5,000 year period to see how polar ice might behave over time depending on several different variables. This visualization shows a 120-year slice of that complete model, essentially offering a research window on to experimental processes that require longer time frames than human lifetimes. According to the model shown here, projecting a period from 1940 to 2060, there is evidence to suggest human factors have had a measurable effect on Arctic ice decreases.
","Part of the ongoing research into polar ice trends encompasses evaluation from sophisticated computer models. At the Geophysical Fluid Dynamics Laboratory at Princeton University, run by NASA's sibling agency, NOAA, researchers modeled a 5,000 year period to see how polar ice might behave over time depending on several different variables. This visualization shows a 120-year slice of that complete model, essentially offering a research window on to experimental processes that require longer time frames than human lifetimes. According to the model shown here, projecting a period from 1940 to 2060, there is evidence to suggest human factors have had a measurable effect on Arctic ice decreases.
","","","","","","","","","","","","view","","","Arctic, Sea Ice","August 8, 2014 - 2:49pm","","","","","","http://svs.gsfc.nasa.gov/vis/a000000/a001000/a001075/index.html","Video/Visualization, Images, Data","","","Modeled Arctic Sea Ice Thickness From 1940 Through 2060","Resource"
"MODIS Antarctica viewer (Moderate Resolution Imaging Spectroradiometer) ","","College, Antarctic, Online Interactive Tool, Glaciers/Land Ice, Images","","College","","multiagency science team - NASA satellite","Staff from the National Snow and Ice Data Center (NSIDC) and the University of New Hampshire have assembled a digital image map and a snow-grain-size image of the Antarctic continent and surrounding islands. The Moderate Resolution Imaging Spectroradiometer (MODIS) Mosaic of Antarctica (MOA) image map is a composite of 260 swaths comprised of both Terra and Aqua MODIS images acquired between 20 November 2003 and 29 February 2004.
","Staff from the National Snow and Ice Data Center (NSIDC) and the University of New Hampshire have assembled a digital image map and a snow-grain-size image of the Antarctic continent and surrounding islands. The Moderate Resolution Imaging Spectroradiometer (MODIS) Mosaic of Antarctica (MOA) image map is a composite of 260 swaths comprised of both Terra and Aqua MODIS images acquired between 20 November 2003 and 29 February 2004.
","Staff from the National Snow and Ice Data Center (NSIDC) and the University of New Hampshire have assembled a digital image map and a snow-grain-size image of the Antarctic continent and surrounding islands. The Moderate Resolution Imaging Spectroradiometer (MODIS) Mosaic of Antarctica (MOA) image map is a composite of 260 swaths comprised of both Terra and Aqua MODIS images acquired between 20 November 2003 and 29 February 2004.
","","","","","","","","","","","","view","","","Antarctic, Glaciers/Land Ice","August 8, 2014 - 2:49pm","","","","","","http://planet.sr.unh.edu/MOA/","Online Interactive Tool, Images","","","MODIS Antarctica viewer (Moderate Resolution Imaging Spectroradiometer) ","Resource"
"MODIS Greenland viewer (Moderate Resolution Imaging Spectroradiometer) ","","College, Graduate/Professional, Online Interactive Tool, Arctic, Glaciers/Land Ice, Images","","College, Graduate/Professional","","multiagency science team - NASA satellite","The MODIS Mosaic of Greenland (MOG) Image Map (2005) is a composite image of 104 Moderate Resolution Imaging Spectroradiometer (MODIS) images acquired over the 2005 spring season. It provides a nearly-perfect cloud-free view of the ice sheet, ice shelves, and land surfaces at a grid scale of 100 m, and an estimated spatial resolution of 150 to 200 m. All land areas and islands larger than a few hundred meters surrounding Greenland are included in the mosaic, as well as the ice caps on Baffin Island, Devon Island, Axel Heighberg Island, and Ellesmere Island.
","The MODIS Mosaic of Greenland (MOG) Image Map (2005) is a composite image of 104 Moderate Resolution Imaging Spectroradiometer (MODIS) images acquired over the 2005 spring season. It provides a nearly-perfect cloud-free view of the ice sheet, ice shelves, and land surfaces at a grid scale of 100 m, and an estimated spatial resolution of 150 to 200 m. All land areas and islands larger than a few hundred meters surrounding Greenland are included in the mosaic, as well as the ice caps on Baffin Island, Devon Island, Axel Heighberg Island, and Ellesmere Island.
","The MODIS Mosaic of Greenland (MOG) Image Map (2005) is a composite image of 104 Moderate Resolution Imaging Spectroradiometer (MODIS) images acquired over the 2005 spring season. It provides a nearly-perfect cloud-free view of the ice sheet, ice shelves, and land surfaces at a grid scale of 100 m, and an estimated spatial resolution of 150 to 200 m. All land areas and islands larger than a few hundred meters surrounding Greenland are included in the mosaic, as well as the ice caps on Baffin Island, Devon Island, Axel Heighberg Island, and Ellesmere Island.
","","","","","","","","","","","","view","","","Arctic, Glaciers/Land Ice","August 8, 2014 - 2:49pm","","","","","","http://planet.sr.unh.edu/MOG/","Online Interactive Tool, Images","","","MODIS Greenland viewer (Moderate Resolution Imaging Spectroradiometer) ","Resource"
"NCSE-NASA Curriculum Module - Seasonality ","","High School, College, Arctic, Images, Curriculum, Sea Ice","","High School, College","","NCSE-NASA","This is a curriculum module focused on seasonality.  Earth – Sun relationships play an important role in governing seasonality and climate patterns on Earth. This lab exercise is designed to explore seasonality and climate (including climate change) strictly from the perspective of satellite map interpretation.
","This is a curriculum module focused on seasonality.  Earth – Sun relationships play an important role in governing seasonality and climate patterns on Earth. This lab exercise is designed to explore seasonality and climate (including climate change) strictly from the perspective of satellite map interpretation.
","This is a curriculum module focused on seasonality.  Earth – Sun relationships play an important role in governing seasonality and climate patterns on Earth. This lab exercise is designed to explore seasonality and climate (including climate change) strictly from the perspective of satellite map interpretation.
","","","","","","","","","","","","view","","","Arctic, Sea Ice","August 8, 2014 - 2:49pm","","","","","","http://www.eoearth.org/article/NCSE-NASA_Curriculum_Module_-_Seasonality","Images, Curriculum","","","NCSE-NASA Curriculum Module - Seasonality ","Resource"
"NOAA Climate Services (includes global climate dashboard) ","","High School, Climate System, Antarctic, Causes of Climate Change, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Mitigation, Video/Visualization, Adaptation, Glaciers/Land Ice, Curriculum, Website, Marine Ecosystem, Data, Permafrost, Sea Ice, Sea Level Rise, Snow, Terrestrial Ecosystem","","High School, General","","NOAA","NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.
","NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.
","NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.NOAA Climate.gov provides science and information for a climate-smart nation.  Americans’ health, security, and economic well-being are closely linked to climate and weather.  People want and need information to help them make decisions on how to manage climate-related risks and opportunities they face.
NOAA Climate.gov is a source of timely and authoritative scientific data and information about climate.  Our goals are to promote public understanding of climate science and climate-related events, to make our data products and services easy to access and use, to provide climate-related support to the private sector and the Nation’s economy, and to serve people making climate-related decisions with tools and resources that help them answer specific questions.
","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Arctic, Antarctic, Sea Ice, Glaciers/Land Ice, Sea Level Rise, Snow, Permafrost, Marine Ecosystem, Terrestrial Ecosystem","August 8, 2014 - 2:49pm","","","","","","http://www.climate.gov/","Online Interactive Tool, Video/Visualization, Curriculum, Website, Data","","","NOAA Climate Services (includes global climate dashboard) ","Resource"
"NOAA Coastal Inundation Toolkit ","","Impacts of Climate Change, General, Adaptation, Family, Images, Website","","General, Family","","NOAA","The Coastal Inundation Toolkit was developed by the Digital Coast Partnership to help communities understand and address coastal inundation issues. Website componants include:  Understanding, Identifying, Visualizing, Communicating, and Discovering.  Those componants are presented using data, tools, training, case studies and application of resources.
","The Coastal Inundation Toolkit was developed by the Digital Coast Partnership to help communities understand and address coastal inundation issues. Website componants include:  Understanding, Identifying, Visualizing, Communicating, and Discovering.  Those componants are presented using data, tools, training, case studies and application of resources.
","The Coastal Inundation Toolkit was developed by the Digital Coast Partnership to help communities understand and address coastal inundation issues. Website componants include:  Understanding, Identifying, Visualizing, Communicating, and Discovering.  Those componants are presented using data, tools, training, case studies and application of resources.
","","Impacts of Climate Change, Adaptation","","","","","","","","","","view","","","","August 8, 2014 - 2:49pm","","","","","","http://csc.noaa.gov/digitalcoast/inundation/understand/","Images, Website","","","NOAA Coastal Inundation Toolkit ","Resource"
